price,status,area,rate per sqft,property type,locality,builder name,rera approval,bhk_count,society,company name,flat type,price_tier,price_cr
8999000,under construction,930,5296,2 bhk apartment in godrej serenity sohna,sector 33 sohna,proptiger,approved by rera,2,godrej serenity sohna,godrej,apartment,budget,0.8999
11000000,under construction,1671,5296,3 bhk apartment in godrej serenity sohna,sector 33 sohna,proptiger,approved by rera,3,godrej serenity sohna,godrej,apartment,budget,1.1
12500000,under construction,1640,5296,3 bhk apartment in godrej serenity sohna,sector 33 sohna,proptiger,approved by rera,3,godrej serenity sohna,godrej,apartment,value-mid,1.25
8400000,under construction,1383,5296,2 bhk apartment in godrej serenity sohna,sector 33 sohna,proptiger,approved by rera,2,godrej serenity sohna,godrej,apartment,budget,0.84
13700000,under construction,1996,5296,3 bhk apartment in godrej serenity sohna,sector 33 sohna,proptiger,approved by rera,3,godrej serenity sohna,godrej,apartment,value-mid,1.37
8000000,under construction,1406,5296,2 bhk apartment in godrej serenity sohna,sector 33 sohna,proptiger,approved by rera,2,godrej serenity sohna,godrej,apartment,budget,0.8
10400000,under construction,1700,5296,3 bhk apartment in godrej serenity sohna,sector 33 sohna,proptiger,approved by rera,3,godrej serenity sohna,godrej,apartment,budget,1.04
7600000,under construction,1311,5296,2 bhk apartment in godrej serenity sohna,sector 33 sohna,home,approved by rera,2,godrej serenity sohna,godrej,apartment,budget,0.76
36000000,under construction,2955,12200,4 bhk apartment in m3m latitude,sector 65,property in gurgaon,approved by rera,4,m3m latitude,m3m,apartment,premium,3.6
8759000,under construction,1095,5966,3 bhk apartment in signature global city 81,sector 81,properties for sale in gurgaon,approved by rera,3,signature global city 81,signature,apartment,budget,0.8759
7676000,under construction,955,6002,2 bhk apartment in signature global city 81,sector 81,proptiger,approved by rera,2,signature global city 81,signature,apartment,budget,0.7676
6200000,under construction,955,5940,2 bhk apartment in signature global city 92,sector 92,proptiger,approved by rera,2,signature global city 92,signature,apartment,budget,0.62
7652000,under construction,959,7488,3 bhk apartment in signature global city 92,sector 92,proptiger,approved by rera,3,signature global city 92,signature,apartment,budget,0.7652
7804000,under construction,1095,5936,3 bhk apartment in signature global city 92,sector 92,proptiger,approved by rera,3,signature global city 92,signature,apartment,budget,0.7804
9699000,under construction,1000,9700,3 bhk apartment in ashiana amarah,sector 93,proptiger,approved by rera,3,ashiana amarah,ashiana,apartment,budget,0.9699
11600000,under construction,1205,9700,3 bhk apartment in ashiana amarah,sector 93,proptiger,approved by rera,3,ashiana amarah,ashiana,apartment,budget,1.16
13600000,under construction,1408,9700,4 bhk apartment in ashiana amarah,sector 93,proptiger,approved by rera,4,ashiana amarah,ashiana,apartment,value-mid,1.36
44900000,under construction,2850,15789,4 bhk apartment in puri the aravallis,sector 61,proptiger,approved by rera,4,puri the aravallis,puri,apartment,ultra-luxury,4.49
34900000,under construction,2250,15555,3 bhk apartment in puri the aravallis,sector 61,proptiger,approved by rera,3,puri the aravallis,puri,apartment,premium,3.49
26000000,ready to move,1415,18375,4 bhk apartment in central park clover floors,sector 33 sohna,proptiger,not approved by rera,4,central park clover floors,central,apartment,premium,2.6
27500000,ready to move,1431,19218,4 bhk apartment in central park clover floors,sector 33 sohna,home,not approved by rera,4,central park clover floors,central,apartment,premium,2.75
20500000,under construction,1870,11000,3 bhk apartment in adani brahma samsara vilasa,sector 63,properties for sale in gurgaon,approved by rera,3,adani brahma samsara vilasa,adani,apartment,value-mid,2.05
23600000,under construction,1572,10329,4 bhk apartment in godrej habitat,sector 3,proptiger,approved by rera,4,godrej habitat,godrej,apartment,premium,2.36
18500000,under construction,1255,9818,3 bhk apartment in godrej habitat,sector 3,proptiger,approved by rera,3,godrej habitat,godrej,apartment,value-mid,1.85
12500000,under construction,913,9314,2 bhk apartment in godrej habitat,sector 3,proptiger,approved by rera,2,godrej habitat,godrej,apartment,value-mid,1.25
16000000,under construction,2700,5037,4 bhk apartment in godrej habitat,sector 3,proptiger,approved by rera,4,godrej habitat,godrej,apartment,value-mid,1.6
12500000,under construction,2050,5183,3 bhk apartment in godrej habitat,sector 3,proptiger,approved by rera,3,godrej habitat,godrej,apartment,value-mid,1.25
8800000,under construction,1400,5343,2 bhk apartment in godrej habitat,sector 3,proptiger,approved by rera,2,godrej habitat,godrej,apartment,budget,0.88
18000000,under construction,1852,6196,3 bhk apartment in shapoorji pallonji joyville,sector 102,proptiger,approved by rera,3,shapoorji pallonji joyville,shapoorji,apartment,value-mid,1.8
16500000,under construction,1692,6229,3 bhk apartment in shapoorji pallonji joyville,sector 102,proptiger,approved by rera,3,shapoorji pallonji joyville,shapoorji,apartment,value-mid,1.65
8800000,under construction,1368,5945,2 bhk apartment in shapoorji pallonji joyville,sector 102,home,approved by rera,2,shapoorji pallonji joyville,shapoorji,apartment,budget,0.88
8600000,under construction,1359,5945,2 bhk apartment in shapoorji pallonji joyville,sector 102,property in gurgaon,approved by rera,2,shapoorji pallonji joyville,shapoorji,apartment,budget,0.86
16400000,under construction,1852,7000,3 bhk apartment in shapoorji pallonji joyville,sector 102,proptiger,approved by rera,3,shapoorji pallonji joyville,shapoorji,apartment,value-mid,1.64
15000000,under construction,1692,7000,3 bhk apartment in shapoorji pallonji joyville,sector 102,proptiger,approved by rera,3,shapoorji pallonji joyville,shapoorji,apartment,value-mid,1.5
9576000,under construction,1368,7000,2 bhk apartment in shapoorji pallonji joyville,sector 102,proptiger,approved by rera,2,shapoorji pallonji joyville,shapoorji,apartment,budget,0.9576
9513000,under construction,1359,7000,2 bhk apartment in shapoorji pallonji joyville,sector 102,proptiger,approved by rera,2,shapoorji pallonji joyville,shapoorji,apartment,budget,0.9513
8900000,under construction,1215,6226,2 bhk apartment in shapoorji pallonji joyville,sector 102,proptiger,approved by rera,2,shapoorji pallonji joyville,shapoorji,apartment,budget,0.89
11000000,under construction,915,6503,2 bhk apartment in shapoorji pallonji joyville,sector 102,proptiger,approved by rera,2,shapoorji pallonji joyville,shapoorji,apartment,budget,1.1
8505000,under construction,1215,7000,2 bhk apartment in shapoorji pallonji joyville,sector 102,proptiger,approved by rera,2,shapoorji pallonji joyville,shapoorji,apartment,budget,0.8505
15500000,under construction,2025,6800,3 bhk apartment in emaar palm heights,sector 77,home,approved by rera,3,emaar palm heights,emaar,apartment,value-mid,1.55
15500000,under construction,2000,6800,3 bhk apartment in emaar palm heights,sector 77,property in gurgaon,approved by rera,3,emaar palm heights,emaar,apartment,value-mid,1.55
13900000,under construction,2050,6800,3 bhk apartment in emaar palm heights,sector 77,properties for sale in gurgaon,approved by rera,3,emaar palm heights,emaar,apartment,value-mid,1.39
